<<<<<<< Updated upstream
,Provider.Name,Provider.State,Occupied.Beds.Per.100,Resource.Supply,Nursing.Staff,Confirmed.COVID.19.Per.1.000,Complete.Vaccination.Per.100,Health.Inspection.Rating,Staffing.Rating,QM.Rating,Overall.Rating
17,ABBOTSFORD HEALTH CARE CENTER,WI,0.46282051282051284,4.0,0.30000000000000004,431.026,69.23100000000001,4.0,4.0,2.0,4.0
18,ABBOTT TERRACE HEALTH CENTER,CT,0.8092682926829269,4.0,1.0,142.97099999999998,83.62299999999999,,,,
19,ABBOTTS CREEK CENTER,NC,0.909375,2.5,1.0,234.51399999999998,67.164,2.0,3.0,4.0,2.0
20,ABBY GARDENS HEALTHCARE CENTER,CA,0.7595959595959596,4.0,0.9,476.729,87.0,3.0,3.0,5.0,4.0
21,ABBYSHIRE PLACE SKILLED NSG & REHAB CTR,OH,0.7544444444444445,4.0,1.0,709.141,85.5015,3.0,3.0,4.0,3.0
22,ABC HEALTH CARE,MO,0.8833333333333333,4.0,1.0,0.0,,,,,
23,ABCM REHAB CENTERS OF INDEPENDENCE EAST CAMPUS,IA,0.624,3.333333333333333,1.0,549.553,87.6895,3.0,4.0,4.0,4.0
24,ABCM REHAB CENTERS OF INDEPENDENCE WEST CAMPUS,IA,0.42209302325581394,3.5,1.0,89.49100000000001,89.975,3.0,4.0,4.0,4.0
25,ABERCORN REHABILITATION CENTER,GA,0.726,4.0,1.0,295.511,94.9365,2.0,2.0,4.0,2.0
26,ABERDEEN HEALTH AND REHAB,SD,0.910948905109489,4.0,0.7,358.977,89.268,1.0,3.0,3.0,1.0
27,ABERDEEN HEIGHTS,MO,0.9263157894736843,4.0,1.0,465.18500000000006,100.0,5.0,5.0,5.0,5.0
28,ABERDEEN REHABILITATION AND SKILLED NURSING CENTER,MI,0.755,4.0,0.4,78.2025,100.0,4.0,2.0,5.0,5.0
29,ABERDEEN VILLAGE,KS,0.815,4.0,1.0,243.776,97.0355,3.0,5.0,5.0,5.0
30,"ABERJONA NURSING CENTER, INC",MA,0.7601626016260162,4.0,1.0,88.207,99.5575,4.0,5.0,5.0,5.0
31,ABERNETHY LAURELS,NC,0.7919540229885058,3.8333333333333335,0.9,322.93899999999996,97.4925,4.0,4.0,5.0,5.0
32,ABIGAIL HOUSE FOR NURSING & REHABILITATION,NJ,0.7984633569739953,4.0,1.0,516.1222222222223,84.146,4.0,2.0,5.0,5.0
33,ABINGDON CARE & REHABILITATION CENTER,NJ,0.6405555555555555,4.0,1.0,215.93999999999997,82.8735,1.0,2.0,4.0,1.0
34,ABINGDON HEALTH CARE LLC,VA,0.8458333333333333,3.5,1.0,148.642,83.654,3.0,4.0,5.0,5.0
35,ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,PA,0.4625,4.0,1.0,587.29,76.316,4.0,4.0,4.0,4.0
36,ABINGTON MANOR,PA,0.8438287153652393,2.5,1.0,406.152,94.0375,2.0,3.0,5.0,3.0
37,ABINGTON OF GLENVIEW NURSING,IL,0.5187499999999999,4.0,1.0,341.41200000000003,93.396,3.0,4.0,4.0,4.0
38,ABRAMSON SENIOR CARE AT LANKENAU MEDICAL CENTER,PA,0.6349206349206349,4.0,1.0,52.58555555555555,94.154,5.0,5.0,5.0,5.0
39,ABRI AT BROWNWOOD,TX,0.5455555555555556,4.0,1.0,424.125,69.767,5.0,4.0,5.0,5.0
40,ABRI AT EDINBURG,TX,0.569047619047619,4.0,1.0,586.404,79.035,,,,
41,ABRI AT STEPHENVILLE,TX,0.6680395387149917,4.0,1.0,443.704,81.579,4.0,4.0,3.0,4.0
42,ABSOLUT CTR FOR NURSING & REHAB ALLEGANY L L C,NY,0.918918918918919,4.0,0.9,823.695,80.5555,5.0,3.0,5.0,5.0
43,ABSOLUT CTR FOR NURSING & REHAB AURORA PARK L L C,NY,0.6743750000000001,4.0,1.0,1087.0189999999998,93.1865,2.0,2.0,2.0,2.0
44,ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C,NY,0.88375,4.0,0.8,315.726,93.8475,2.0,2.0,4.0,2.0
45,ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C,NY,0.7578313253012048,4.0,0.7,492.593,85.76149999999998,4.0,2.0,4.0,4.0
46,ABSOLUT CTR FOR NURSING & REHAB THREE RIVERS L L C,NY,0.8258333333333333,4.0,0.5,195.843,92.289,2.0,2.0,4.0,2.0
47,ABSOLUT CTR FOR NURSING & REHAB WESTFIELD L L C,NY,0.8,4.0,0.6666666666666667,246.52399999999997,90.0615,2.0,2.0,5.0,3.0
48,ACACIA HEALTH CENTER,AZ,0.5987179487179487,4.0,1.0,265.83299999999997,89.552,5.0,5.0,5.0,5.0
49,ACACIA PARK NURSING & REHAB CENTER,CA,0.46565656565656566,4.0,1.0,865.9150000000002,74.51,4.0,3.0,4.0,4.0
50,ACADEMY MANOR,MA,0.6678571428571429,2.5,1.0,869.2309999999998,82.927,2.0,3.0,1.0,1.0
51,ACADIA CENTER FOR NURSING AND REHABILITATION,NY,0.5447513812154696,4.0,1.0,875.2,86.757,3.0,2.0,5.0,4.0
52,ACADIA ST. LANDRY GUEST HOUSE,LA,0.7216417910447761,4.0,0.7,311.63300000000004,89.3475,4.0,2.0,2.0,4.0
53,ACC CARE CENTER,CA,0.7444444444444445,4.0,1.0,161.16300000000004,100.0,4.0,5.0,5.0,5.0
54,ACCEL AT COLLEGE STATION,TX,0.7025862068965517,4.0,0.8,139.16,63.636,3.0,3.0,3.0,3.0
55,ACCEL AT CRYSTAL PARK,OK,0.8593220338983051,4.0,0.9,779.985,68.348,1.0,4.0,4.0,2.0
56,ACCEL AT GOLDEN RIDGE,CO,0.41354166666666664,4.0,1.0,344.3375,,,,,
57,ACCEL AT LONGMONT,CO,0.4868421052631579,4.0,1.0,306.918,70.3735,3.0,5.0,5.0,5.0
58,ACCEL AT WILLOW BEND,TX,0.7227272727272728,4.0,1.0,85.529,72.02000000000001,2.0,2.0,5.0,3.0
59,ACCESS MENTAL HEALTH LLC,KS,0.8844444444444444,4.0,0.9,23.482000000000003,,1.0,1.0,5.0,2.0
60,ACCOLADE HC OF PAXTON ON PELLS,IL,0.8556603773584905,4.0,0.8,301.4440000000001,93.5875,3.0,1.0,4.0,2.0
61,ACCOLADE HEALTHCARE DANVILLE,IL,0.7948453608247422,4.0,0.7,364.842,68.1135,2.0,2.0,4.0,2.0
62,ACCOLADE HEALTHCARE OF PONTIAC,IL,0.7711340206185566,4.0,0.8,379.906,92.9765,2.0,2.0,3.0,2.0
63,ACCOLADE PAXTON SENIOR LIVING,IL,0.856,4.0,0.8,688.5600000000001,89.6045,3.0,2.0,4.0,3.0
64,ACCORD CARE COMMUNITY ORRVILLE LLC,OH,0.5616113744075829,4.0,1.0,840.21,91.813,2.0,2.0,4.0,2.0
65,ACCORDIUS HEALTH AND REHABILITATION,NC,0.6942857142857143,3.8333333333333335,0.5,470.98699999999997,46.809,2.0,2.0,3.0,2.0
66,ACCORDIUS HEALTH AT ABERDEEN,NC,0.7061855670103093,4.0,0.9,623.752,86.154,1.0,2.0,2.0,1.0
67,ACCORDIUS HEALTH AT ASHEVILLE,NC,0.7649350649350649,4.0,0.9,20.811999999999994,90.0,2.0,3.0,3.0,2.0
68,ACCORDIUS HEALTH AT BAY POINTE LLC,VA,0.6749999999999999,4.0,0.9,308.419,84.615,3.0,1.0,4.0,2.0
69,ACCORDIUS HEALTH AT BREVARD,NC,0.42857142857142855,4.0,0.9,699.595,51.667,1.0,2.0,4.0,1.0
70,ACCORDIUS HEALTH AT CHARLOTTE,NC,0.6823843416370107,4.0,0.7,325.928,72.368,2.0,2.0,2.0,2.0
71,ACCORDIUS HEALTH AT CLEMMONS,NC,0.78125,4.0,0.7,234.37600000000003,79.518,,,,
72,ACCORDIUS HEALTH AT CONCORD,NC,0.5922818791946308,4.0,0.30000000000000004,924.619,98.462,1.0,3.0,4.0,1.0
73,ACCORDIUS HEALTH AT COURTLAND,VA,0.7122222222222222,4.0,0.6,110.256,84.507,3.0,3.0,3.0,3.0
74,ACCORDIUS HEALTH AT CREEKSIDE CARE,NC,0.6814569536423841,4.0,0.6,687.3939999999999,92.45299999999999,1.0,2.0,3.0,1.0
75,ACCORDIUS HEALTH AT EMPORIA,VA,0.785,4.0,0.6,247.87000000000003,82.178,1.0,2.0,1.0,1.0
76,ACCORDIUS HEALTH AT GASTONIA,NC,0.590677966101695,4.0,0.7,420.654,83.333,3.0,2.0,4.0,3.0
77,ACCORDIUS HEALTH AT GREENE COUNTY,VA,0.7955555555555555,4.0,0.8,397.043,91.023,3.0,2.0,5.0,4.0
78,"ACCORDIUS HEALTH AT GREENSBORO, LLC",NC,0.6657142857142858,4.0,0.0,543.3369999999999,88.60799999999999,2.0,2.0,4.0,2.0
79,ACCORDIUS HEALTH AT HARRISONBURG LLC,VA,0.6153846153846154,4.0,0.9,355.198,81.4065,1.0,3.0,3.0,1.0
80,ACCORDIUS HEALTH AT HENDERSONVILLE LLC,NC,0.5746268656716418,4.0,0.9,448.459,62.821000000000005,2.0,2.0,4.0,2.0
81,ACCORDIUS HEALTH AT LEXINGTON,NC,0.7452830188679245,4.0,0.8,465.62699999999995,62.353,2.0,2.0,4.0,2.0
82,ACCORDIUS HEALTH AT LYNCHBURG LLC,VA,0.6458333333333334,4.0,0.9,551.758,68.293,1.0,2.0,2.0,1.0
83,"ACCORDIUS HEALTH AT MIDWOOD, LLC",NC,0.5877862595419847,4.0,1.0,432.65,77.193,2.0,3.0,3.0,2.0
84,ACCORDIUS HEALTH AT MONROE,NC,0.6652542372881356,4.0,1.0,180.295,88.63600000000001,2.0,3.0,4.0,2.0
85,ACCORDIUS HEALTH AT MOORESVILLE,NC,0.48145285935085,3.8333333333333335,1.0,416.2990000000001,64.615,1.0,2.0,3.0,1.0
86,ACCORDIUS HEALTH AT NANSEMOND POINTE LLC,VA,0.7047297297297297,4.0,1.0,723.365,90.179,3.0,3.0,2.0,3.0
87,ACCORDIUS HEALTH AT RIVER POINTE LLC,VA,0.6079710144927537,4.0,0.9,397.98,95.455,1.0,2.0,3.0,1.0
88,ACCORDIUS HEALTH AT ROANOKE,VA,0.48923076923076925,4.0,0.7,500.75,82.451,1.0,2.0,1.0,1.0
89,ACCORDIUS HEALTH AT ROSE MANOR LLC,NC,0.7416440831074976,4.0,1.0,62.468,82.5,2.0,2.0,4.0,2.0
90,ACCORDIUS HEALTH AT RUTHERFORD LLC,NC,0.7975,4.0,1.0,214.538,80.882,3.0,2.0,5.0,4.0
91,ACCORDIUS HEALTH AT SALISBURY,NC,0.6789189189189189,4.0,0.9,373.148,75.0,1.0,2.0,2.0,1.0
92,ACCORDIUS HEALTH AT SCOTLAND MANOR,NC,0.6935483870967742,4.0,0.9,247.244,79.592,3.0,3.0,5.0,4.0
93,ACCORDIUS HEALTH AT STATESVILLE,NC,0.5740997229916898,4.0,1.0,530.3340000000001,67.857,1.0,2.0,2.0,1.0
94,ACCORDIUS HEALTH AT WAVERLY,VA,0.6316666666666666,4.0,1.0,693.787,79.012,3.0,2.0,5.0,4.0
95,ACCORDIUS HEALTH AT WAYNESBORO LLC,VA,0.7706422018348624,4.0,1.0,505.927,81.818,3.0,3.0,3.0,3.0
96,ACCORDIUS HEALTH AT WILKESBORO,NC,0.6366666666666667,4.0,0.9,415.21600000000007,72.619,1.0,2.0,2.0,1.0
97,ACCORDIUS HEALTH AT WILMINGTON,NC,0.6433333333333333,4.0,0.9,102.82300000000001,75.61,1.0,2.0,4.0,1.0
98,ACCORDIUS HEALTH AT WILSON,NC,0.5472727272727272,4.0,0.30000000000000004,335.052,90.741,1.0,2.0,4.0,1.0
99,ACCORDIUS HEALTH AT WINSTON SALEM,NC,0.7073578595317725,4.0,0.9,83.38699999999999,80.952,2.0,3.0,5.0,3.0
100,ACCURA HEALTHCARE OF  MILFORD,IA,0.77,4.0,0.8,697.394,94.87200000000001,4.0,4.0,5.0,5.0
101,"ACCURA HEALTHCARE OF AMES, LLC",IA,0.75,4.0,0.7,711.816,86.538,1.0,3.0,2.0,1.0
102,"ACCURA HEALTHCARE OF AURELIA, LLC",IA,0.6791044776119403,4.0,1.0,3.3329999999999997,96.464,2.0,4.0,3.0,3.0
103,ACCURA HEALTHCARE OF BANCROFT,IA,0.8587786259541985,4.0,0.19999999999999996,508.517,100.0,5.0,3.0,4.0,5.0
104,ACCURA HEALTHCARE OF CARROLL,IA,0.6528571428571429,4.0,0.4,681.4980000000002,97.5,1.0,2.0,5.0,2.0
105,ACCURA HEALTHCARE OF CASCADE LLC,IA,0.6521739130434783,4.0,0.0,444.245,96.8245,4.0,4.0,4.0,4.0
106,"ACCURA HEALTHCARE OF CHEROKEE, LLC",IA,0.7645833333333334,3.3333333333333335,1.0,599.603,100.0,2.0,5.0,5.0,4.0
107,ACCURA HEALTHCARE OF CRESCO,IA,0.5804347826086956,3.666666666666667,0.8,437.35300000000007,95.9165,4.0,4.0,2.0,4.0
108,"ACCURA HEALTHCARE OF KNOXVILLE, LLC",IA,0.8200000000000001,4.0,0.4,417.5690000000001,95.745,1.0,2.0,1.0,1.0
109,ACCURA HEALTHCARE OF LE MARS,IA,0.558695652173913,4.0,0.30000000000000004,835.2789999999999,100.0,2.0,3.0,3.0,2.0
110,ACCURA HEALTHCARE OF MANNING LLC,IA,0.6347826086956522,4.0,1.0,0.0,100.0,,,,
111,ACCURA HEALTHCARE OF MARSHALLTOWN,IA,0.6411764705882353,4.0,1.0,750.826,88.4785,2.0,4.0,3.0,3.0
112,"ACCURA HEALTHCARE OF NEWTON EAST, LLC",IA,0.8240740740740741,4.0,0.6666666666666667,564.605,82.60050000000001,2.0,2.0,2.0,2.0
113,"ACCURA HEALTHCARE OF NEWTON WEST, LLC",IA,0.6984732824427481,3.8333333333333335,0.7,688.5270000000002,90.5765,4.0,4.0,4.0,4.0
114,"ACCURA HEALTHCARE OF OGDEN, LLC",IA,0.8782608695652173,4.0,0.9,37.39,95.34899999999999,2.0,4.0,4.0,3.0
115,"ACCURA HEALTHCARE OF PLEASANTVILLE, LLC",IA,0.8659217877094971,4.0,0.8,0.0,97.84900000000002,1.0,3.0,4.0,1.0
116,"ACCURA HEALTHCARE OF POMEROY, LLC",IA,0.7899999999999999,4.0,0.8,0.0,91.612,2.0,5.0,5.0,4.0
117,ACCURA HEALTHCARE OF SHENANDOAH,IA,0.7355555555555556,3.5,0.4,66.4,94.73700000000001,3.0,4.0,3.0,4.0
118,"ACCURA HEALTHCARE OF SIOUX CITY, LLC",IA,0.6256038647342995,4.0,0.7777777777777778,1145.8688888888892,96.97,2.0,5.0,5.0,4.0
119,ACCURA HEALTHCARE OF SPIRIT LAKE,IA,0.6258823529411766,4.0,0.30000000000000004,557.397,100.0,2.0,2.0,4.0,2.0
120,ACCURA HEALTHCARE OF STANTON,IA,0.7978260869565218,4.0,0.7,331.98,87.805,5.0,4.0,3.0,5.0
121,ACHIEVE REHAB AND NURSING FACILITY,NY,0.8892857142857142,3.3333333333333335,1.0,291.412,90.76249999999999,3.0,2.0,3.0,3.0
122,ACKERT PARK SKILLED NURSING & REHABILITATION CENTE,MO,0.46166666666666667,4.0,0.8888888888888888,351.87299999999993,99.0385,3.0,4.0,5.0,5.0
123,"ACTORS FUND HOME, THE",NJ,0.7535714285714286,4.0,1.0,214.72899999999998,98.47900000000001,4.0,,5.0,5.0
124,ADA CARE CENTER,OK,0.6720588235294118,4.0,0.25,417.02,45.122,2.0,1.0,2.0,1.0
125,ADAMS COUNTY MANOR,OH,0.8864864864864864,4.0,1.0,236.43099999999998,70.69800000000001,5.0,3.0,5.0,5.0
126,ADAMS COUNTY NURSING CENTER,MS,0.555,4.0,0.19999999999999996,745.2990000000001,83.2895,2.0,2.0,2.0,2.0
127,ADAMS FARM LIVING & REHABILITATION,NC,0.7391666666666666,4.0,0.9,495.87800000000004,86.916,3.0,3.0,4.0,3.0
128,ADAMS HEALTH CARE CENTER,MN,,,,,,,,,
129,ADAMS HERITAGE,IN,0.6786885245901639,3.8333333333333335,1.0,809.8109999999999,92.5,5.0,4.0,3.0,5.0
130,ADAMS NURSING HOME,AL,0.712,4.0,1.0,24.073,93.70349999999999,5.0,1.0,4.0,4.0
131,ADAMS WOODCREST,IN,0.7695939565627951,3.8333333333333335,1.0,237.69099999999997,94.04799999999999,4.0,4.0,3.0,4.0
132,"ADAMSPLACE, LLC",TN,0.8844444444444444,4.0,1.0,306.713,84.848,4.0,4.0,5.0,5.0
133,ADAMSVILLE HEALTHCARE AND REHABILITATION CENTER,TN,0.648,4.0,1.0,362.71799999999996,77.32650000000001,1.0,2.0,2.0,1.0
134,ADDISON HEALTHCARE CENTER,OH,0.553125,4.0,1.0,1381.8579999999997,83.76599999999999,3.0,2.0,5.0,4.0
135,ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER,OH,0.7177777777777777,4.0,0.8,417.57000000000005,66.9695,1.0,2.0,3.0,1.0
136,ADDISON POINTE HEALTH & REHABILITATION CENTER,IN,0.828,4.0,1.0,416.89699999999993,89.923,2.0,2.0,4.0,2.0
137,ADDOLORATA VILLA,IL,0.5203527815468114,4.0,1.0,861.267,97.70100000000001,4.0,5.0,3.0,5.0
138,ADEL ACRES,IA,0.654,4.0,0.9,609.12,94.87200000000001,2.0,3.0,5.0,3.0
139,ADELPHI NURSING AND REHABILITATION CENTER,MD,0.7370588235294118,4.0,1.0,32.943,64.626,2.0,2.0,4.0,2.0
140,ADIRA AT RIVERSIDE REHABILITATION AND NURSING,NY,0.885,4.0,1.0,324.867,93.04299999999999,4.0,2.0,5.0,5.0
141,"ADMIRAL AT THE LAKE, THE",IL,0.8722222222222222,4.0,1.0,361.406,97.0145,5.0,5.0,4.0,5.0
142,ADMIRAL’S POINTE CARE CENTER,OH,0.81,4.0,1.0,396.321,79.221,,,,
143,ADORA MIDTOWN PARK,TX,0.6560975609756097,4.0,0.9,342.11600000000004,73.72550000000001,4.0,1.0,4.0,3.0
144,ADRIAN MANOR HEALTH & REHABILITATION CENTER,MO,0.5966666666666666,4.0,1.0,40.0,,,,,
145,ADVANCE HEALTH CARE OF SCOTTSDALE,AZ,0.868421052631579,4.0,1.0,479.12199999999996,100.0,5.0,5.0,5.0,5.0
146,ADVANCED CARE CENTER,FL,0.9101851851851852,4.0,1.0,292.6844444444444,72.05099999999999,3.0,4.0,4.0,4.0
147,ADVANCED CARE CENTER OF BUTLER,PA,0.14942528735632182,,1.0,266.6666666666667,83.75,,,,
148,ADVANCED CENTER FOR NURSING & REHABILITATION,CT,0.8371681415929203,4.0,1.0,358.47299999999996,81.365,2.0,3.0,3.0,2.0
149,ADVANCED HEALTH & REHAB CENTER OF GARLAND,TX,0.7298161470823341,4.0,1.0,896.2444444444445,83.182,3.0,3.0,2.0,3.0
150,ADVANCED HEALTH AND REHAB OF TWIGGS COUNTY,GA,0.7435114503816794,4.0,0.4,605.2379999999999,78.55550000000001,2.0,2.0,2.0,2.0
151,ADVANCED HEALTH AND REHAB OF UNION COUNTY,AR,0.465391621129326,3.8333333333333335,0.8888888888888888,413.78888888888895,96.094,2.0,3.0,2.0,2.0
152,ADVANCED HEALTH CARE OF ALBUQUERQUE,NM,0.6468085106382978,4.0,0.33333333333333337,1090.3690000000001,86.965,4.0,4.0,5.0,5.0
153,ADVANCED HEALTH CARE OF AURORA,CO,0.8074074074074075,3.8333333333333335,1.0,165.791,91.071,4.0,4.0,5.0,5.0
154,ADVANCED HEALTH CARE OF COEUR D'ALENE LLC,ID,0.888235294117647,4.0,1.0,556.8109999999999,66.667,4.0,3.0,5.0,5.0
155,ADVANCED HEALTH CARE OF COLORADO SPRINGS,CO,0.6823529411764706,3.3333333333333335,0.8,667.225,75.0,5.0,5.0,5.0,5.0
156,ADVANCED HEALTH CARE OF GLENDALE,AZ,0.6962962962962963,4.0,1.0,554.318,80.597,4.0,5.0,5.0,5.0
157,ADVANCED HEALTH CARE OF HENDERSON,NV,0.8263157894736842,4.0,1.0,900.25,,4.0,5.0,5.0,5.0
158,ADVANCED HEALTH CARE OF LAS VEGAS,NV,0.8605263157894738,4.0,1.0,321.06699999999995,66.62650000000001,5.0,5.0,5.0,5.0
159,ADVANCED HEALTH CARE OF LEWISTON,ID,0.7911764705882353,4.0,1.0,321.178,56.818000000000005,5.0,4.0,5.0,5.0
160,ADVANCED HEALTH CARE OF OVERLAND PARK,KS,0.9578947368421052,4.0,1.0,183.237,73.65299999999999,5.0,5.0,5.0,5.0
161,ADVANCED HEALTH CARE OF PARADISE,NV,0.8763157894736842,4.0,1.0,708.4889999999999,53.191,,,,
162,ADVANCED HEALTH CARE OF RENO,NV,0.9714285714285713,4.0,0.6666666666666667,180.0,66.667,3.0,4.0,5.0,5.0
163,ADVANCED HEALTH CARE OF SALEM,UT,0.73125,4.0,0.9,0.0,77.778,5.0,5.0,5.0,5.0
164,ADVANCED HEALTH CARE OF ST GEORGE,UT,0.5615384615384615,4.0,1.0,203.36100000000002,66.667,5.0,5.0,5.0,5.0
165,ADVANCED HEALTH CARE OF SUMMERLIN,NV,0.8973684210526316,4.0,1.0,660.396,58.49100000000001,5.0,5.0,5.0,5.0
166,ADVANCED HEALTHCARE CENTER,OH,0.6,4.0,0.9,453.012,89.745,1.0,1.0,5.0,2.0
167,ADVANCED HEALTHCARE OF MESA,AZ,0.863157894736842,4.0,1.0,748.329,57.576,4.0,5.0,5.0,5.0
168,ADVANCED REHAB CENTER OF TUSTIN,CA,0.8353535353535354,4.0,1.0,515.125,78.161,3.0,3.0,4.0,3.0
169,ADVANCED REHABILITATION & HEALTHCARE OF BURLESON,TX,0.5013774104683195,,1.0,0.0,63.408,,,,
170,ADVANCED REHABILITATION & HEALTHCARE OF LIVE OAK,TX,0.6804878048780488,4.0,1.0,106.51099999999997,88.659,1.0,1.0,3.0,1.0
171,ADVANCED REHABILITATION AND HEALTHCARE OF ATHENS,TX,0.6469115191986644,4.0,0.5,265.42999999999995,53.261,3.0,2.0,2.0,3.0
172,ADVANCED REHABILITATION AND HEALTHCARE OF BOWIE,TX,0.7211111111111111,4.0,0.8,407.34599999999995,55.953500000000005,3.0,1.0,3.0,2.0
173,ADVANCED REHABILITATION AND HEALTHCARE OF VERNON,TX,0.8058333333333334,4.0,1.0,464.559,85.773,4.0,3.0,4.0,4.0
174,ADVANCED REHABILITATION AND HEALTHCARE OF WICHITA,TX,0.8577777777777779,4.0,0.9,554.4960000000001,79.3375,3.0,2.0,3.0,3.0
175,ADVANCED SUBACUTE REHABILITATION CENTER AT SEWELL,NJ,,,,,,2.0,3.0,3.0,2.0
176,ADVANTAGE LIVING CENTER - ARMADA,MI,0.891044776119403,4.0,0.30000000000000004,300.70500000000004,85.7195,2.0,4.0,4.0,3.0
177,ADVANTAGE LIVING CENTER - HARPER WOODS,MI,0.7152317880794702,4.0,1.0,200.59333333333336,69.6125,1.0,2.0,4.0,1.0
178,ADVANTAGE LIVING CENTER - NORTHWEST,MI,0.6991341991341992,4.0,1.0,205.1577777777778,60.0775,2.0,2.0,5.0,3.0
179,ADVANTAGE LIVING CENTER - REDFORD,MI,0.7818181818181817,4.0,0.0,324.9239999999999,82.776,2.0,2.0,3.0,2.0
180,ADVANTAGE LIVING CENTER - ROSEVILLE,MI,0.6140696909927679,4.0,0.0,227.9733333333333,64.8305,1.0,2.0,4.0,1.0
181,ADVANTAGE LIVING CENTER - SAMARITAN,MI,0.7283333333333334,4.0,0.6666666666666667,638.6849999999998,80.3445,2.0,3.0,3.0,2.0
182,ADVANTAGE LIVING CENTER - SOUTHGATE,MI,0.6890000000000001,4.0,0.9,669.767,72.791,4.0,2.0,2.0,4.0
183,ADVANTAGE LIVING CENTER - WARREN,MI,0.6865671641791045,4.0,0.5,765.9077777777778,99.10700000000001,2.0,1.0,3.0,1.0
184,ADVANTAGE LIVING CENTER - WAYNE,MI,0.4835505896958411,4.0,0.09999999999999998,700.8544444444444,82.459,1.0,2.0,2.0,1.0
185,ADVENA LIVING AT FOUNTAINVIEW,KS,0.7678571428571429,4.0,0.5,350.23100000000005,86.17850000000001,1.0,1.0,4.0,1.0
186,ADVENA LIVING OF CHERRYVALE,KS,0.7866666666666666,4.0,0.4,324.50600000000003,67.8165,1.0,5.0,2.0,2.0
187,ADVENTHEALTH CARE CENTER APOPKA NORTH,FL,0.8674999999999999,4.0,1.0,264.082,81.584,4.0,5.0,3.0,5.0
188,ADVENTHEALTH CARE CENTER APOPKA SOUTH,FL,0.7608108108108108,4.0,1.0,159.67800000000005,80.73249999999999,1.0,4.0,3.0,2.0
189,ADVENTHEALTH CARE CENTER BURLESON,TX,0.4691011235955056,4.0,1.0,946.0799999999999,86.86399999999999,2.0,3.0,2.0,2.0
190,ADVENTHEALTH CARE CENTER CELEBRATION,FL,0.5191666666666667,4.0,1.0,114.901,73.399,5.0,5.0,4.0,5.0
191,ADVENTHEALTH CARE CENTER ORLANDO EAST,FL,0.9025,4.0,1.0,292.022,75.652,5.0,4.0,4.0,5.0
192,ADVENTHEALTH CARE CENTER ORLANDO NORTH,FL,0.8408333333333334,4.0,1.0,79.913,65.8755,2.0,5.0,5.0,4.0
